report_property [get_bd_cells zynq_ultra_ps_e_0]
Property                                               Type    Read-only  Value
CLASS                                                  string  true       bd_cell
CONFIG.CAN0_BOARD_INTERFACE                            string  false      custom
CONFIG.CAN1_BOARD_INTERFACE                            string  false      custom
CONFIG.CSU_BOARD_INTERFACE                             string  false      custom
CONFIG.Component_Name                                  string  false      edt_zcu102_zynq_ultra_ps_e_0_0
CONFIG.DP_BOARD_INTERFACE                              string  false      custom
CONFIG.GEM0_BOARD_INTERFACE                            string  false      custom
CONFIG.GEM1_BOARD_INTERFACE                            string  false      custom
CONFIG.GEM2_BOARD_INTERFACE                            string  false      custom
CONFIG.GEM3_BOARD_INTERFACE                            string  false      custom
CONFIG.GPIO_BOARD_INTERFACE                            string  false      custom
CONFIG.IIC0_BOARD_INTERFACE                            string  false      custom
CONFIG.IIC1_BOARD_INTERFACE                            string  false      custom
CONFIG.NAND_BOARD_INTERFACE                            string  false      custom
CONFIG.PCIE_BOARD_INTERFACE                            string  false      custom
CONFIG.PJTAG_BOARD_INTERFACE                           string  false      custom
CONFIG.PMU_BOARD_INTERFACE                             string  false      custom
CONFIG.PSU_BANK_0_IO_STANDARD                          string  false      LVCMOS18
CONFIG.PSU_BANK_1_IO_STANDARD                          string  false      LVCMOS18
CONFIG.PSU_BANK_2_IO_STANDARD                          string  false      LVCMOS18
CONFIG.PSU_BANK_3_IO_STANDARD                          string  false      LVCMOS33
CONFIG.PSU_DDR_RAM_HIGHADDR                            string  false      0xFFFFFFFF
CONFIG.PSU_DDR_RAM_HIGHADDR_OFFSET                     string  false      0x80000000
CONFIG.PSU_DDR_RAM_LOWADDR_OFFSET                      string  false      0x80000000
CONFIG.PSU_IMPORT_BOARD_PRESET                         string  false      
CONFIG.PSU_MIO_0_DIRECTION                             string  false      out
CONFIG.PSU_MIO_0_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_0_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_0_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_0_SLEW                                  string  false      slow
CONFIG.PSU_MIO_1_DIRECTION                             string  false      inout
CONFIG.PSU_MIO_1_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_1_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_1_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_1_SLEW                                  string  false      slow
CONFIG.PSU_MIO_2_DIRECTION                             string  false      inout
CONFIG.PSU_MIO_2_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_2_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_2_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_2_SLEW                                  string  false      slow
CONFIG.PSU_MIO_3_DIRECTION                             string  false      inout
CONFIG.PSU_MIO_3_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_3_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_3_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_3_SLEW                                  string  false      slow
CONFIG.PSU_MIO_4_DIRECTION                             string  false      inout
CONFIG.PSU_MIO_4_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_4_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_4_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_4_SLEW                                  string  false      slow
CONFIG.PSU_MIO_5_DIRECTION                             string  false      out
CONFIG.PSU_MIO_5_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_5_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_5_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_5_SLEW                                  string  false      slow
CONFIG.PSU_MIO_6_DIRECTION                             string  false      out
CONFIG.PSU_MIO_6_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_6_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_6_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_6_SLEW                                  string  false      slow
CONFIG.PSU_MIO_7_DIRECTION                             string  false      out
CONFIG.PSU_MIO_7_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_7_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_7_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_7_SLEW                                  string  false      slow
CONFIG.PSU_MIO_8_DIRECTION                             string  false      inout
CONFIG.PSU_MIO_8_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_8_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_8_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_8_SLEW                                  string  false      slow
CONFIG.PSU_MIO_9_DIRECTION                             string  false      inout
CONFIG.PSU_MIO_9_DRIVE_STRENGTH                        string  false      12
CONFIG.PSU_MIO_9_INPUT_TYPE                            string  false      schmitt
CONFIG.PSU_MIO_9_PULLUPDOWN                            string  false      pullup
CONFIG.PSU_MIO_9_SLEW                                  string  false      slow
CONFIG.PSU_MIO_10_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_10_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_10_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_10_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_10_SLEW                                 string  false      slow
CONFIG.PSU_MIO_11_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_11_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_11_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_11_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_11_SLEW                                 string  false      slow
CONFIG.PSU_MIO_12_DIRECTION                            string  false      out
CONFIG.PSU_MIO_12_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_12_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_12_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_12_SLEW                                 string  false      slow
CONFIG.PSU_MIO_13_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_13_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_13_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_13_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_13_SLEW                                 string  false      slow
CONFIG.PSU_MIO_14_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_14_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_14_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_14_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_14_SLEW                                 string  false      slow
CONFIG.PSU_MIO_15_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_15_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_15_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_15_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_15_SLEW                                 string  false      slow
CONFIG.PSU_MIO_16_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_16_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_16_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_16_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_16_SLEW                                 string  false      slow
CONFIG.PSU_MIO_17_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_17_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_17_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_17_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_17_SLEW                                 string  false      slow
CONFIG.PSU_MIO_18_DIRECTION                            string  false      in
CONFIG.PSU_MIO_18_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_18_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_18_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_18_SLEW                                 string  false      slow
CONFIG.PSU_MIO_19_DIRECTION                            string  false      out
CONFIG.PSU_MIO_19_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_19_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_19_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_19_SLEW                                 string  false      slow
CONFIG.PSU_MIO_20_DIRECTION                            string  false      out
CONFIG.PSU_MIO_20_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_20_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_20_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_20_SLEW                                 string  false      slow
CONFIG.PSU_MIO_21_DIRECTION                            string  false      in
CONFIG.PSU_MIO_21_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_21_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_21_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_21_SLEW                                 string  false      slow
CONFIG.PSU_MIO_22_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_22_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_22_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_22_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_22_SLEW                                 string  false      slow
CONFIG.PSU_MIO_23_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_23_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_23_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_23_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_23_SLEW                                 string  false      slow
CONFIG.PSU_MIO_24_DIRECTION                            string  false      out
CONFIG.PSU_MIO_24_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_24_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_24_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_24_SLEW                                 string  false      slow
CONFIG.PSU_MIO_25_DIRECTION                            string  false      in
CONFIG.PSU_MIO_25_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_25_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_25_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_25_SLEW                                 string  false      slow
CONFIG.PSU_MIO_26_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_26_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_26_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_26_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_26_SLEW                                 string  false      slow
CONFIG.PSU_MIO_27_DIRECTION                            string  false      out
CONFIG.PSU_MIO_27_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_27_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_27_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_27_SLEW                                 string  false      slow
CONFIG.PSU_MIO_28_DIRECTION                            string  false      in
CONFIG.PSU_MIO_28_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_28_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_28_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_28_SLEW                                 string  false      slow
CONFIG.PSU_MIO_29_DIRECTION                            string  false      out
CONFIG.PSU_MIO_29_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_29_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_29_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_29_SLEW                                 string  false      slow
CONFIG.PSU_MIO_30_DIRECTION                            string  false      in
CONFIG.PSU_MIO_30_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_30_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_30_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_30_SLEW                                 string  false      slow
CONFIG.PSU_MIO_31_DIRECTION                            string  false      out
CONFIG.PSU_MIO_31_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_31_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_31_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_31_SLEW                                 string  false      slow
CONFIG.PSU_MIO_32_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_32_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_32_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_32_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_32_SLEW                                 string  false      slow
CONFIG.PSU_MIO_33_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_33_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_33_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_33_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_33_SLEW                                 string  false      slow
CONFIG.PSU_MIO_34_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_34_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_34_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_34_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_34_SLEW                                 string  false      slow
CONFIG.PSU_MIO_35_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_35_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_35_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_35_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_35_SLEW                                 string  false      slow
CONFIG.PSU_MIO_36_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_36_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_36_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_36_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_36_SLEW                                 string  false      slow
CONFIG.PSU_MIO_37_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_37_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_37_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_37_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_37_SLEW                                 string  false      slow
CONFIG.PSU_MIO_38_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_38_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_38_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_38_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_38_SLEW                                 string  false      slow
CONFIG.PSU_MIO_39_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_39_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_39_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_39_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_39_SLEW                                 string  false      slow
CONFIG.PSU_MIO_40_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_40_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_40_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_40_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_40_SLEW                                 string  false      slow
CONFIG.PSU_MIO_41_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_41_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_41_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_41_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_41_SLEW                                 string  false      slow
CONFIG.PSU_MIO_42_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_42_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_42_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_42_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_42_SLEW                                 string  false      slow
CONFIG.PSU_MIO_43_DIRECTION                            string  false      out
CONFIG.PSU_MIO_43_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_43_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_43_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_43_SLEW                                 string  false      slow
CONFIG.PSU_MIO_44_DIRECTION                            string  false      in
CONFIG.PSU_MIO_44_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_44_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_44_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_44_SLEW                                 string  false      slow
CONFIG.PSU_MIO_45_DIRECTION                            string  false      in
CONFIG.PSU_MIO_45_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_45_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_45_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_45_SLEW                                 string  false      slow
CONFIG.PSU_MIO_46_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_46_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_46_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_46_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_46_SLEW                                 string  false      slow
CONFIG.PSU_MIO_47_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_47_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_47_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_47_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_47_SLEW                                 string  false      slow
CONFIG.PSU_MIO_48_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_48_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_48_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_48_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_48_SLEW                                 string  false      slow
CONFIG.PSU_MIO_49_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_49_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_49_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_49_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_49_SLEW                                 string  false      slow
CONFIG.PSU_MIO_50_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_50_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_50_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_50_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_50_SLEW                                 string  false      slow
CONFIG.PSU_MIO_51_DIRECTION                            string  false      out
